origin_cbg,destination_cbg,trips
371570409001,371570412004,693
370810108001,371570414001,58
371570414002,371570415011,2120
510839306012,371570410012,250
370670033141,371570406023,158
371690703021,371570408001,81
371259503052,371570410023,40
370339302002,371570414001,85
510890105003,371570404004,861
371590507001,371570403001,208
370810116012,371570410023,312
370810160072,371570403001,95
371570410023,371570409001,2884
371570406021,371570413004,95
371570409003,371570416012,176
371570406022,371570405013,87
371830535232,371570413004,40
371570416023,371570410022,1377
371570403003,371570416012,1220
370810164051,371570412004,38
510890104001,371570413004,95
371570411006,371570415011,552
510890102002,371570410012,892
371570414001,371570412001,1997
370810160031,371570414001,6
371570401012,371570416012,734
370670028091,371570413004,40
371570405021,371570403003,18059
510890106023,371570407001,22
371570401012,371570404004,123
371570406013,371570416012,180
371570405012,371570416012,333
511430110013,371570403003,719
510839303023,371570414002,73
371570401011,371570415021,9470
371570412001,371570406023,1353
371570405022,371570405021,1041
371570410015,371570411001,43
371570414002,371570413004,7038
371570402002,371570405021,136
371570411006,371570403002,2372
370339302003,371570415023,35
516900003002,371570405023,39
371570406021,371570410012,5839
370810162011,371570410023,1397
371570404003,371570404004,113
371570402002,371570405011,82
371570405021,371570415011,128
371570410023,371570406023,8058
370339306001,371570413004,40
371570411006,371570409001,297
516900001002,371570403001,49
370810157052,371570406023,107
371570409001,371570403003,6119
370810160113,371570414001,26
371570414002,371570405013,250
371570407003,371570408001,10008
511430111002,371570403001,1477
511430109002,371570413004,223
370810154012,371570415021,774
371570415011,371570415011,9962
371570406013,371570408001,855
371570401023,371570415021,2195
370810160031,371570415021,102
371570416012,371570403001,2630
370810168001,371570408001,17
510839303012,371570412003,61
370339305003,371570415023,574
510890107004,371570415021,42
370810160112,371570410011,759
371570402002,371570402003,559
120950170012,371570412004,684
371570405022,371570411006,109
371570405022,371570412003,2483
371570415023,371570414003,1304
370810126041,371570410023,40
370810156011,371570411001,236
371570412002,371570414003,595
510890106012,371570410023,80
515900007002,371570403001,117
371570404004,371570402003,83
370010212012,371570414002,55
371570406022,371570414001,475
371570416012,371570402002,541
371570407002,371570416012,88
371570404004,371570413004,95
371570406011,371570409002,372
510110402003,371570414001,8
510230403033,371570410021,71
371570406011,371570403001,1159
371570404001,371570412003,1329
370810151003,371570415022,165
371510311013,371570413004,40
510890107004,371570410023,319
371570410021,371570406023,20895
371570405011,371570406022,123
371570405021,371570415023,699
371570401012,371570414002,946
370010208011,371570415022,15
370670028061,371570408001,390
370810151001,371570414001,449
370670027011,371570410012,88
370810154023,371570414001,196
371570402003,371570410012,59
370810164071,371570412003,365
371690701013,371570409002,188
371570411003,371570411001,1953
370339304001,371570412001,205
450510502002,371570403001,278
370810116013,371570414001,57
371570401023,371570412003,4077
371570403001,371570415011,782
510890105001,371570402002,99
370810160083,371570408001,71
511430111002,371570405023,495
371570406021,371570410021,2006
371570407001,371570415021,134
371570411005,371570415011,514
371459202002,371570415022,34
370810104031,371570410012,336
371570401013,371570409002,39
370810160091,371570415011,38
371570413004,371570414003,709
515900009001,371570413004,95
371570411005,371570403002,895
516900003001,371570403003,396
371570410011,371570405023,260
370810164051,371570410012,669
371570401012,371570403003,12256
370810165053,371570406023,70
371570414001,371570404003,278
371570409003,371570407001,794
370810155001,371570416021,171
371570416021,371570414002,1892
371570415011,371570410012,261
371570413002,371570413003,880
371570413001,371570413002,124
370810156022,371570413004,1030
371570403002,371570404003,2255
371570410021,371570414002,140
370810113002,371570410012,137
510890102005,371570410021,107
371570411003,371570406023,1142
371570410015,371570404002,52
371570407001,371570415022,23
370810162011,371570411001,101
371570402003,371570409003,213
371570412003,371570405023,287
450510514042,371570416023,11
371570416023,371570411001,885
371570405011,371570405013,8904
371570415023,371570412002,1038
371570401012,371570415022,1514
371570416023,371570416012,1087
370670030023,371570414001,134
371570409002,371570409001,1747
511970503022,371570415011,20
371570405011,371570410023,1044
371570401023,371570403003,1460
371570409001,371570405021,212
370339304001,371570405023,10
371570401013,371570402003,56
371570405013,371570410021,747
371570405011,371570410012,1019
370810165021,371570412003,521
370670032012,371570410021,218
371570402003,371570403001,8239
511410302023,371570403003,94
371570414001,371570403002,592
370810154023,371570412001,41
370810154012,371570412003,639
371570411003,371570415011,1913
370810158002,371570409003,92
371570410021,371570409003,4611
510890113002,371570410023,60
371570416011,371570411006,109
370810160113,371570410012,134
370339303003,371570414001,692
371570406023,371570406021,483
371570415011,371570405023,25
371570415011,371570414001,11376
371570401021,371570401023,710
371570411003,371570402002,77
371570406012,371570409003,1577
371570409003,371570404003,105
371570414001,371570409001,255
371570410023,371570410021,2156
515900001004,371570413004,67
371570404002,371570415023,165
510890101001,371570403003,564
370810160091,371570415022,16
370810128041,371570415011,60
371570401013,371570410012,59
371570406022,371570408001,8012
371690701021,371570410012,698
371570410012,371570414002,54
371570403003,371570411005,480
370810165033,371570410023,40
370570620012,371570406011,158
370630022002,371570412003,39
371570407001,371570410021,994
371570404003,371570410022,174
371570406021,371570403001,2319
370010216001,371570408001,135
371570413001,371570413004,7384
370810159022,371570410023,319
511430113012,371570413004,159
371570407001,371570407002,158
371570411002,371570403003,6078
371570404003,371570403002,4563
371570413002,371570413004,2328
371570415023,371570411003,70
371570406012,371570408001,7711
371570406013,371570403002,2247
371570410012,371570410012,12683
371570413003,371570414001,8636
371570405012,371570413004,121
370810112011,371570415021,96
370670036002,371570409003,267
370339304001,371570412003,5814
370810162041,371570405023,31
371690701011,371570403003,494
515900006002,371570415021,42
131850114053,371570410012,59
371570406021,371570404003,334
371570405012,371570409002,54
370810159012,371570406023,2560
370670030023,371570406023,242
371570402001,371570402002,7031
420834206006,371570408001,18
371690707011,371570403003,19
371570406021,371570412003,1206
370810156011,371570410022,129
371570401013,371570415021,7972
370810160112,371570414001,706
370810154022,371570414001,459
371570415023,371570403003,4027
370810110001,371570412003,196
371570401022,371570415023,1005
371570416011,371570414002,3205
370810128041,371570414001,627
371690707012,371570406023,205
371570405023,371570414001,91
371570412001,371570412002,179
370810160112,371570408001,1475
371570415021,371570411001,2099
371570411002,371570410023,149
371570404001,371570411005,61
370810155001,371570416022,77
370010215002,371570405021,28
371570411005,371570413004,927
370810126121,371570406023,64
371570405022,371570406021,43
450510517002,371570410021,72
370810156011,371570411006,197
371570406012,371570407001,148
370339305002,371570413002,248
371690707021,371570410012,59
371570406023,371570414002,194
370810111013,371570412004,39
371570405011,371570405023,3748
371570405022,371570410023,531
371570405021,371570416023,11
515900007002,371570412003,1053
510890111003,371570410012,203
371570415021,371570414001,23376
371570404002,371570406023,200
371570410023,371570413004,130
370810160072,371570415021,268
371570404004,371570405021,124
370810156011,371570403001,131
371830534153,371570413004,67
450510504022,371570405023,36
370010216001,371570415022,92
511410303023,371570403001,89
371570404004,371570409001,573
371570410022,371570416023,2018
370010216002,371570412004,44
370810169004,371570410021,218
371570411001,371570406023,70
371570409003,371570406023,11025
371570414001,371570409003,236
510890110003,371570410023,148
371570412002,371570414001,10853
371570411005,371570412001,368
371570403003,371570416022,237
511430105002,371570413004,13
371570405022,371570402001,687
371690701011,371570413004,41
510890105003,371570405013,209
370810153021,371570415022,58
370810109001,371570413004,404
371570407001,371570416012,34
510890109001,371570406011,799
371570415021,371570414003,1438
371570404001,371570413004,67
370339302004,371570413004,183
371570415021,371570412004,6413
133130008023,371570403001,34
370810164062,371570410021,139
371570410023,371570403002,228
371570411003,371570407001,184
371190058591,371570412003,38
371570407004,371570403003,10
370010215003,371570415022,16
371570401023,371570413001,628
371570405013,371570416022,156
370810155003,371570415022,136
370810105002,371570410012,59
510670206001,371570410023,40
371570406022,371570415023,89
371570401012,371570401022,42
371570402002,371570411003,47
511430114002,371570403003,35
370670028061,371570409001,102
370010216001,371570409002,67
370810167012,371570415023,75
371570412003,371570412003,27659
371570410013,371570406023,1807
170898507061,371570413004,157
511430112001,371570412003,279
371570405013,371570401013,23
511430111002,371570403003,2480
371570406022,371570415021,107
370810157051,371570410012,232
371239601022,371570403003,261
371570412004,371570416012,145
371590519012,371570410023,40
371570406013,371570406012,107
515900012001,371570414001,133
510890106011,371570403001,57
371570406023,371570403003,3402
371510305044,371570406021,25
370670021001,371570406023,70
371570403003,371570416023,93
371570415021,371570416011,211
370810101001,371570408001,26
370810159012,371570410021,919
371570414002,371570412004,7411
370810127032,371570412004,39
371570412001,371570411001,852
371570416012,371570415011,2788
370810111022,371570412003,178
371570406013,371570404002,174
371570403003,371570415021,2973
370810159011,371570410023,2075
510890106011,371570410023,930
371570402001,371570410021,641
370339302002,371570415021,68
510890106022,371570402002,62
370810153021,371570412001,104
515900014001,371570413004,491
515900007003,371570412003,246
371570415023,371570409001,175
371570413001,371570409003,214
371570410023,371570410022,408
370810162051,371570403001,23
371570406012,371570412001,41
371570404004,371570412004,412
371570405013,371570411006,68
370810160091,371570414001,102
371570405012,371570401013,50
510670207021,371570405023,38
371570416023,371570415023,1754
371570413004,371570405023,110
370810160083,371570403003,22
420750028023,371570413004,46
370810126192,371570401013,23
371570415011,371570415023,12188
371570401023,371570403001,119
370810157061,371570416023,69
371830534153,371570406023,25
371570416021,371570408001,17
370339302002,371570412003,752
370810103002,371570410012,505
370010216001,371570415011,60
371570406013,371570412001,858
515900008001,371570410023,40
371570415011,371570403003,3234
370810162052,371570410012,28
371690702002,371570406021,59
371570413001,371570415011,1096
371570406022,371570412002,11
370810127032,371570412003,178
370810127051,371570415021,130
371570414003,371570411006,152
371570416011,371570412004,6139
510890105002,371570403002,119
511610312022,371570410023,148
510890108003,371570403003,364
370810111012,371570415022,16
510890106021,371570416012,98
371570406011,371570407001,585
370810160073,371570414001,51
371570415021,371570404003,53
515900014001,371570403002,62
371570406012,371570415023,57
370670033072,371570410023,484
371570403003,371570412004,1742
370810116013,371570406023,70
370339302003,371570413001,125
371570401013,371570403003,6220
370339305001,371570414002,55
371570413003,371570416012,34
371570406021,371570416012,471
370810154013,371570415021,126
371690707021,371570409002,54
370810125081,371570410012,59
370810160082,371570415022,86
510639201022,371570408001,66
371570406021,371570409002,2806
371570412004,371570412002,720
370250420002,371570412003,99
371570410022,371570410021,266
371510314022,371570403003,26
370339302002,371570403003,39
371570416021,371570415023,5295
370670031031,371570410023,40
370339303001,371570415023,168
370670033152,371570410012,208
371570412001,371570412003,15749
371570406011,371570406022,117
370810160112,371570407001,105
371570415023,371570411001,1132
371570405023,371570406023,1134
371570405012,371570415021,481
371570409003,371570410023,1937
371570401022,371570411001,122
450510517002,371570408001,242
371570406023,371570404003,40
371570416012,371570416021,240
370810162012,371570410012,672
516900003002,371570412003,300
370810156021,371570413004,432
371690702003,371570407001,385
371570402002,371570401022,195
371570410022,371570406021,212
515900003003,371570403003,219
370810160112,371570410022,30
370810161034,371570408001,17
517750103002,371570408001,26
515900008003,371570413004,135
